detail_id,OCC_TITLE,total_emp,a_mean,a_median,h_mean,h_median,broad_id
274099,"Media and Communication Equipment Workers, All Other",18620,76500,75700,36.78,36.39,274090
291011,Chiropractors,32960,81210,67520,39.04,32.46,291010
291021,"Dentists, General",105620,173860,153900,83.59,73.99,291020
291022,Oral and Maxillofacial Surgeons,5380,232870,#,111.96,#,291020
291023,Orthodontists,5200,228780,#,109.99,#,291020
291024,Prosthodontists,750,168140,126050,80.84,60.60,291020
291029,"Dentists, All Other Specialists",5380,171900,173000,82.64,83.17,291020
291031,Dietitians and Nutritionists,61430,59670,58920,28.69,28.33,291030
291041,Optometrists,36430,117580,106140,56.53,51.03,291040
291051,Pharmacists,305510,120270,122230,57.82,58.77,291050
291061,Anesthesiologists,30190,269600,#,129.62,#,291060
291062,Family and General Practitioners,122970,200810,190490,96.54,91.58,291060
291063,"Internists, General",45290,201840,196380,97.04,94.42,291060
291064,Obstetricians and Gynecologists,19800,234310,#,112.65,#,291060
291065,"Pediatricians, General",26960,184240,168990,88.58,81.24,291060
291066,Psychiatrists,24820,200220,194740,96.26,93.63,291060
291067,Surgeons,41190,252910,#,121.59,#,291060
291069,"Physicians and Surgeons, All Other",338620,205560,206920,98.83,99.48,291060
291071,Physician Assistants,104050,102090,101480,49.08,48.79,291070
291081,Podiatrists,9800,144110,124830,69.28,60.01,291080
291122,Occupational Therapists,118070,83730,81910,40.25,39.38,291120
291123,Physical Therapists,216920,87220,85400,41.93,41.06,291120
291124,Radiation Therapists,17450,84980,80160,40.86,38.54,291120
291125,Recreational Therapists,18100,48190,46410,23.17,22.31,291120
291126,Respiratory Therapists,126770,60640,58670,29.15,28.21,291120
291127,Speech-Language Pathologists,135980,78210,74680,37.60,35.90,291120
291128,Exercise Physiologists,6880,50310,47340,24.19,22.76,291120
291129,"Therapists, All Other",11320,60590,56700,29.13,27.26,291120
291131,Veterinarians,67650,100560,88770,48.34,42.68,291130
291141,Registered Nurses,2857180,72180,68450,34.70,32.91,291140
291151,Nurse Anesthetists,39860,164030,160270,78.86,77.05,291150
291161,Nurse Midwives,6270,102390,99770,49.23,47.97,291160
291171,Nurse Practitioners,150230,104610,100910,50.30,48.52,291170
291181,Audiologists,12310,79290,75980,38.12,36.53,291180
291199,"Health Diagnosing and Treating Practitioners, All Other",36280,84800,74530,40.77,35.83,291190
292011,Medical and Clinical Laboratory Technologists,166730,62440,61070,30.02,29.36,292010
292012,Medical and Clinical Laboratory Technicians,160190,41700,38950,20.05,18.73,292010
292021,Dental Hygienists,204990,73440,72910,35.31,35.05,292020
292031,Cardiovascular Technologists and Technicians,53760,57100,55570,27.45,26.71,292030
292032,Diagnostic Medical Sonographers,65790,71750,69650,34.49,33.49,292030
292033,Nuclear Medicine Technologists,19650,75960,74350,36.52,35.75,292030
292034,Radiologic Technologists,200650,59260,57450,28.49,27.62,292030
292035,Magnetic Resonance Imaging Technologists,35850,69240,68420,33.29,32.90,292030
292041,Emergency Medical Technicians and Paramedics,244960,36110,32670,17.36,15.71,292040
292051,Dietetic Technicians,32240,29360,26350,14.12,12.67,292050
292052,Pharmacy Technicians,398390,32170,30920,15.47,14.86,292050
292053,Psychiatric Technicians,61720,35870,30970,17.25,14.89,292050
292054,Respiratory Therapy Technicians,10600,50520,49780,24.29,23.93,292050
292055,Surgical Technologists,105720,46800,45160,22.50,21.71,292050
292056,Veterinary Technologists and Technicians,99390,33870,32490,16.29,15.62,292050
292057,Ophthalmic Medical Technicians,43990,37040,35530,17.81,17.08,292050
292061,Licensed Practical and Licensed Vocational Nurses,702400,44840,44090,21.56,21.20,292060
292071,Medical Records and Health Information Technicians,200140,41460,38040,19.93,18.29,292070
292081,"Opticians, Dispensing",75270,37860,35530,18.20,17.08,292080
292091,Orthotists and Prosthetists,7500,69920,65630,33.62,31.55,292090
292092,Hearing Aid Specialists,6740,53000,50250,25.48,24.16,292090
292099,"Health Technologists and Technicians, All Other",122170,46020,41070,22.13,19.75,292090
299011,Occupational Health and Safety Specialists,76630,72480,70920,34.85,34.09,299010
299012,Occupational Health and Safety Technicians,16560,52520,48820,25.25,23.47,299010
299091,Athletic Trainers,24130,47880,45630,,,299090
299092,Genetic Counselors,2720,74960,74120,36.04,35.64,299090
299099,"Healthcare Practitioners and Technical Workers, All Other",36000,57960,48820,27.87,23.47,299090
311011,Home Health Aides,814300,23600,22600,11.35,10.87,311010
311013,Psychiatric Aides,67410,28770,26720,13.83,12.85,311010
311014,Nursing Assistants,1443150,27650,26590,13.29,12.78,311010
311015,Orderlies,52940,28550,26690,13.73,12.83,311010
312011,Occupational Therapy Assistants,38170,59530,59010,28.62,28.37,312010
312012,Occupational Therapy Aides,7210,31840,28330,15.31,13.62,312010
312021,Physical Therapist Assistants,85580,56850,56610,27.33,27.21,312020
312022,Physical Therapist Aides,50030,27890,25680,13.41,12.35,312020
